latitude,rating,url,name,longitude
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d7747541-Reviews-Nalanada_Restuarant-Patna_Bihar.html,,
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d6978714-Reviews-Spice_Garden_Restaurant-Patna_Bihar.html,,
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d7710679-Reviews-Roshi_s_Lunch_Box-Patna_Bihar.html,,
25.632307,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d8836195-Reviews-Cha_Point-Patna_Bihar.html,Cha Point,85.105644
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071354-Reviews-Bikaner_Sweets_and_Pesti_Shop-Patna_Bihar.html,,
25.606215,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d2666395-Reviews-Angeethi-Patna_Bihar.html,angeethi,85.07458
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d8509737-Reviews-Hot_Meals-Patna_Bihar.html,,
,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071443-Reviews-Aryan_Restaurant-Patna_Bihar.html,,
25.610949,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d5984377-Reviews-Kabab_Express-Patna_Bihar.html,Kabab Express,85.1401
25.616804,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071363-Reviews-Biryani_Plaza-Patna_Bihar.html,Biryani Plaza,85.11331
25.598602,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d10058291-Reviews-Champaran_Meat_House-Patna_Bihar.html,Champaran Meat House,85.157936
25.61006,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d7994925-Reviews-Roll_Mafia-Patna_Bihar.html,Roll Mafia,85.13638
25.605011,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d5998113-Reviews-Magadh_Darbar_Restaurant-Patna_Bihar.html,Magadh Darbar Restaurant,85.08469
25.60956,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d5997533-Reviews-The_Saffron_Court_Restaurant-Patna_Bihar.html,The Saffron Court Restaurant,85.14901
25.61209,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d5998308-Reviews-Park_Plaza_Restaurant-Patna_Bihar.html,Park Plaza Restaurant,85.1433
,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d6218257-Reviews-Madhuri_Restaurant_and_Bar-Patna_Bihar.html,,
25.6081,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5913134-Reviews-The_Rock-Patna_Bihar.html,The Rock,85.042274
25.61842,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d8835603-Reviews-Spice_Court-Patna_Bihar.html,Spice Court,85.14173
25.611635,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d10383167-Reviews-Ankur_Restaurant-Patna_Bihar.html,Ankur Restaurant,85.119736
25.612207,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d10192602-Reviews-KFC-Patna_Bihar.html,KFC,85.19804
,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d7037999-Reviews-Food_chain-Patna_Bihar.html,,
,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d8491391-Reviews-Cafe_Green_Eye_Panache_Patna-Patna_Bihar.html,,
25.617302,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5900170-Reviews-Cloud_9_Restaurant-Patna_Bihar.html,Cloud 9 Restaurant,85.11547
25.609564,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071348-Reviews-Atithi_Restaurant-Patna_Bihar.html,Atithi Restaurant,85.13774
25.61985,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d8440663-Reviews-Silk_Route_Restaurant-Patna_Bihar.html,Silk Route Restaurant,85.14326
25.609943,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5944216-Reviews-Gandhali_resturant-Patna_Bihar.html,Gandhali resturant,85.14254
25.60139,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d5998634-Reviews-Yo_China_Restaurant-Patna_Bihar.html,Yo China Restaurant,85.21628
25.638268,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d3849461-Reviews-Adda-Patna_Bihar.html,Adda,85.10907
25.603285,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d2389158-Reviews-Cream_Centre_P_M_Mall-Patna_Bihar.html,Cream Centre - P&M Mall,85.14196
